,TITLE,LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,CITY,LA_N,RA_N,BY_N,PRICE_N
76,4 BHK House for Sale,"Tikathali, Lalitpur",Rs. 2.75 Cr ,4.0 aana,13 Feet,South,2.5,4.0,4.0,2074 B.S,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,4.0,13,2074,27500000.0
77, House for Sale,"Tikathali, Lalitpur",Rs. 2.25 Cr ,3.2 aana,13 Feet,South,2.5,4.0,3.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.2,13,2074,22500000.0
78,4 BHK House for Sale,"Lubhu, Lalitpur",Rs. 1.8 Cr ,4.2 aana,13 Feet,East,2.5,4.0,4.0,2078 B.S,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Drainage', 'Dining Room', 'Bed Room']", Lalitpur,4.2,13,2078,18000000.0
79,3 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.2 aana,14 Feet,South,2.5,3.0,3.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.2,14,2077,25000000.0
80, House for Sale,"Setipakha, Lalitpur",Rs. 1.65 Cr ,3.1 aana,13 Feet,North-East,1.0,1.0,1.0,2074 B.S,"['Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Water Well', 'Sofa', 'Modular Kitchen', 'Dining Room', 'Bed Room']", Lalitpur,3.1,13,2074,16500000.0
81, House for Sale,"Bhaisepati, Lalitpur",Rs. 5.1 Cr ,6.3 aana,12 Feet,South,2.5,5.0,5.0,2078 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']", Lalitpur,6.3,12,2078,51000000.0
82, House for Sale,"Imadol, Lalitpur",Rs. 5.99 Cr ,7.0 aana,20 Feet,East,2.5,5.0,3.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,7.0,20,2077,59900000.0
83, House for Sale,"Imadol, Lalitpur",Rs. 3.25 Cr ,4.3 aana,20 Feet,East,2.5,4.0,3.0,2074 B.S,"['Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Garden', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,4.3,20,2074,32500000.0
85, House for Sale,"Bhaisepati, Lalitpur",Rs. 2.75 Cr ,3.2 aana,13 Feet,North,2.5,5.0,5.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.2,13,2077,27500000.0
86, House for Sale,"Sudal, Bhaktapur",Rs. 1.27 Cr ,4.0 aana,13 Feet,East,1.0,2.0,1.0,2074 B.S,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Reserve Tank', 'Lawn', 'Balcony', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Modular Kitchen']", Bhaktapur,4.0,13,2074,12700000.0
87,Bungalow House for Rent,"Baluwatar, Kathmandu",Rs. 2.25 Cr ,4.0 aana,20 Feet,South-East,2.5,4.0,4.0,2068 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Lawn']", Kathmandu,4.0,20,2068,22500000.0
88,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 6.1 Cr ,6.0 aana,18 Feet,South,3.5,6.0,4.0,2070 B.S,"['Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Lawn', 'Terrace', 'Servant Quarter', 'Basement']", Lalitpur,6.0,18,2070,61000000.0
89,Bungalow House for Sale,"Hattiban, Lalitpur",Rs. 3.69 Cr ,4.1 aana,18 Feet,South,3.5,5.0,4.0,2079 B.S,"['Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Lawn', 'Terrace', 'Basement', 'Servant Quarter']", Lalitpur,4.1,18,2079,36900000.0
90,3 BHK House at Civil Homes Phase V,"Sunakothi, Lalitpur",Rs. 2.3 Cr ,2.3 aana,20 Feet,East,2.0,3.0,2.0,2070 B.S,"['Modular Kitchen', 'Parquet', 'Drainage', 'CC Camera', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Lawn', 'Terrace']", Lalitpur,2.3,20,2070,23000000.0
91,Luxurious Villa for Sale,"Budhanilkantha, Kathmandu",Rs. 3.2 Cr ,4.0 aana,14 Feet,South,2.0,5.0,5.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Modular Kitchen']", Kathmandu,4.0,14,2079,32000000.0
92, House for Sale,"Nil Barahi Mandir, Bhaktapur",Rs. 1.55 Cr ,3.2 aana,20 Feet,South-West,2.5,6.0,3.0,2078 B.S,"['Earthquake Resistant', 'Boring Water', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']", Bhaktapur,3.2,20,2078,15500000.0
93,Duplex House for Sale,"Dhapasi, Kathmandu",Rs. 4.25 Cr ,4.2 aana,13 Feet,West,2.5,7.0,6.0,2080 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Boring Water']", Kathmandu,4.2,13,2080,42500000.0
94,Exquisite property for sale,"Katyani Chowk, Kathmandu",Rs. 6.5 Cr ,7.0 aana,24 Feet,East,2.5,9.0,4.0,2074 B.S,"['Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Servant Quarter', 'Dining Room', 'Bed Room', 'Bathroom']", Kathmandu,7.0,24,2074,65000000.0
95,Bungalow for Sale,"Gaurighat, Kathmandu",Rs. 3.5 Cr ,4.0 aana,15 Feet,North,2.0,6.0,5.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Reserve Tank', 'Balcony', 'Terrace', 'Servant Quarter']", Kathmandu,4.0,15,2076,35000000.0
96, House for Sale,"Budhanilkantha, Kathmandu",Rs. 2.8 Cr ,3.2 aana,16 Feet,South,3.0,6.0,6.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Kathmandu,3.2,16,2076,28000000.0
97,2 BHK House for Sale,"Lubhu, Lalitpur",Rs. 1.33 Cr ,3.0 aana,13 Feet,South,1.5,2.0,1.0,2077 B.S,"['Garden', 'Parking', 'Drinking Water', 'Water Well', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room', 'Earthquake Resistant', 'Marbel']", Lalitpur,3.0,13,2077,13300000.0
98,4 BHK House for Rent,"Bhaisepati, Lalitpur","Rs. 65,000 /m",4.0 aana,20 Feet,North-West,2.5,4.0,3.0,2070 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,4.0,20,2070,65000.0
100, House for Sale,"Imadol, Lalitpur",Rs. 1.6 Cr ,2.2 aana,13 Feet,South,2.0,4.0,2.0,2075 B.S,"['Earthquake Resistant', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Water Well', 'Modular Kitchen', 'Guest Room', 'Bed Room', 'Dining Room']", Lalitpur,2.2,13,2075,16000000.0
101, House for Sale,"Harisiddhi, Lalitpur",Rs. 2.5 Cr ,3.1 aana,13 Feet,West,2.5,4.0,4.0,2068 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.1,13,2068,25000000.0
102, House for Sale,"Harisiddhi, Lalitpur",Rs. 2.8 Cr ,3.0 aana,20 Feet,West,2.5,5.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Lalitpur,3.0,20,2076,28000000.0
103, House for Sale,"Imadol, Lalitpur",Rs. 2.7 Cr ,3.2 aana,14 Feet,South-West,2.5,5.0,3.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.2,14,2076,27000000.0
104, House for Sale,"Bhaisepati, Lalitpur",Rs. 3.99 Cr ,4.2 aana,16 Feet,South,2.5,5.0,5.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,4.2,16,2076,39900000.0
105,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.99 Cr ,5.0 aana,16 Feet,South,3.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Dining Room', 'Bed Room']", Lalitpur,5.0,16,2076,49900000.0
106, House for Sale,"Lubhu, Lalitpur",Rs. 1.7 Cr ,4.2 aana,10 Feet,East,2.5,5.0,3.0,2076 B.S,"['Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Lalitpur,4.2,10,2076,17000000.0
107, House for Sale,"Bhaisepati, Lalitpur",Rs. 4.25 Cr ,3.3 aana,20 Feet,South-West,2.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Internet', 'Dining Room']", Lalitpur,3.3,20,2076,42500000.0
108, House For Sale,"Sanagaun, Lalitpur",Rs. 1.7 Cr ,3.0 aana,13 Feet,West,2.0,4.0,2.0,2077 B.S,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Balcony', 'Parking', 'Garden', 'Reserve Tank', 'Terrace', 'Water Well', 'Basement', 'Dining Room']", Lalitpur,3.0,13,2077,17000000.0
109,5 BHK Bungalow for Rent,"Budhanilkantha, Kathmandu",Rs. 1.4 Lac/m,12.1 aana,16 Feet,East,2.5,5.0,5.0,2074 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Boring Water', 'Water Well', 'Reserve Tank', 'Servant Quarter']", Kathmandu,12.1,16,2074,1.4
110,Bungalow House for Sale,"Balkot, Bhaktapur",Rs. 5.25 Cr ,5.0 aana,20 Feet,South-East,2.5,5.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Garden', 'Drinking Water', 'Terrace', 'Reserve Tank', 'Balcony', 'Bed Room', 'Dining Room']", Bhaktapur,5.0,20,2076,52500000.0
112, House for Sale,"Bageshwori, Bhaktapur",Rs. 2.5 Cr ,5.0 aana,13 Feet,South,2.5,7.0,3.0,2074 B.S,"['Earthquake Resistant', 'Garden', 'Drinking Water', 'Parking', 'Balcony', 'Reserve Tank', 'Internet', 'Bathroom', 'Living Room', 'Bed Room', 'Laundry Room']", Bhaktapur,5.0,13,2074,25000000.0
113,Duplex House for Sale,"Bhangal , Kathmandu",Rs. 3.2 Cr ,4.2 aana,13 Feet,West,2.5,7.0,5.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Boring Water', 'Power Backup', 'Living Room']", Kathmandu,4.2,13,2079,32000000.0
114, House for Sale,"Tikathali, Lalitpur",Rs. 2.5 Cr ,3.2 aana,18 Feet,South,3.0,6.0,3.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.2,18,2076,25000000.0
115,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.35 Cr ,3.2 aana,13 Feet,West,2.5,4.0,3.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Living Room']", Lalitpur,3.2,13,2076,23500000.0
116, House for Rent,"Muhanpokhari, Kathmandu",Rs. 2 Cr ,3.2 aana,20 Feet,South,3.0,7.0,5.0,2074 B.S,[], Kathmandu,3.2,20,2074,20000000.0
117,3 BHK House for Sale,"Samakhusi, Kathmandu",Rs. 3.9 Cr ,3.0 aana,13 Feet,West,2.5,3.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Kathmandu,3.0,13,2076,39000000.0
118, House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.3 Cr,6.0 aana,12 Feet,North,2.5,5.0,5.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace']", Kathmandu,6.0,12,2076,33000000.0
119,Bungalow House for Sale,"Chandol, Kathmandu",Rs. 8.5 Cr,9.3 aana,20 Feet,East,2.5,6.0,6.0,2070 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace']", Kathmandu,9.3,20,2070,85000000.0
120,Bungalow House for Sale,"Hepali Height, Kathmandu",Rs. 6.03 Cr,5.0 aana,16 Feet,North,3.5,4.0,4.0,2080 B.S,"['Earthquake Resistant', 'Marbel', 'CC Camera', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Lawn', 'Terrace']", Kathmandu,5.0,16,2080,60300000.0
121,House for Sale,"Imadol, Lalitpur",Rs. 1.65 Cr ,3.1 aana,16 Feet,South,2.5,4.0,2.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bathroom']", Lalitpur,3.1,16,2076,16500000.0
122,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.25 Cr ,3.1 aana,20 Feet,North-West,2.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'CC Camera', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace']", Lalitpur,3.1,20,2076,22500000.0
123, House for Sale,"Hepali Height, Kathmandu",Rs. 3.3 Cr,6.2 aana,13 Feet,South,2.5,6.0,5.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace']", Kathmandu,6.2,13,2076,33000000.0
124,Bungalow House for Sale,"Mandikhatar, Kathmandu",Rs. 7.5 Cr ,9.1 aana,16 Feet,South-West,3.5,8.0,6.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Kathmandu,9.1,16,2076,75000000.0
125, House for Sale,"Imadol, Lalitpur",Rs. 2.75 Cr ,3.1 aana,13 Feet,West,3.0,5.0,3.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Reserve Tank', 'Balcony', 'Bed Room', 'Bathroom', 'Living Room', 'Prayer Room', 'Modular Kitchen']", Lalitpur,3.1,13,2077,27500000.0
126, House for Sale,"Bojepokhari, Lalitpur",Rs. 2.85 Cr ,3.2 aana,12 Feet,East,2.5,6.0,5.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Balcony', 'Drainage', 'Parking', 'Boring Water', 'Reserve Tank', 'Terrace', 'Bathroom', 'Bed Room', 'Master Bedroom']", Lalitpur,3.2,12,2077,28500000.0
127, House for Rent,"Ranibari, Kathmandu",Rs. 1.05 Lac/m,5.1 aana,12 Feet,South-West,3.5,7.0,5.0,2074 B.S,"['Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Reserve Tank', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kathmandu,5.1,12,2074,1.05
128,Semi Furnished House for Sale,"Hattigaunda, Kathmandu",Rs. 3.15 Cr ,4.0 aana,14 Feet,East,2.5,6.0,5.0,2080 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Boring Water']", Kathmandu,4.0,14,2080,31500000.0
129, House for Sale,"Tikathali, Lalitpur",Rs. 2.75 Cr ,4.0 aana,13 Feet,North,2.5,7.0,4.0,2073 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Reserve Tank', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,4.0,13,2073,27500000.0
130, House for Sale,"Imadol, Lalitpur",Rs. 2.35 Cr ,3.0 aana,13 Feet,East,3.5,6.0,4.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.0,13,2074,23500000.0
131, House for Sale,"Thaiba, Lalitpur",Rs. 2.9 Cr ,5.2 aana,20 Feet,North-East,2.5,6.0,4.0,2074 B.S,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Drinking Water', 'Garden', 'Parking', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,5.2,20,2074,29000000.0
132, House for Sale,"Tikathali, Lalitpur",Rs. 2.55 Cr ,3.0 aana,13 Feet,North,3.0,6.0,5.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parquet', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,3.0,13,2074,25500000.0
133,3 BHK House for Sale,"Imadol, Lalitpur",Rs. 3.25 Cr ,4.0 aana,20 Feet,North,2.5,3.0,4.0,2076 B.S,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Lalitpur,4.0,20,2076,32500000.0
134, House for Sale,"Imadol, Lalitpur",Rs. 2.7 Cr ,3.3 aana,13 Feet,East,3.5,5.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,3.3,13,2076,27000000.0
135,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.45 Cr ,3.1 aana,13 Feet,West,2.5,4.0,4.0,2073 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,3.1,13,2073,24500000.0
137, House for Sale,"Imadol, Lalitpur",Rs. 2.95 Cr ,4.2 aana,13 Feet,North,2.5,5.0,5.0,2073 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,4.2,13,2073,29500000.0
139, House for Sale ,"Lasuntar, Kathmandu",Rs. 2.5 Cr ,4.0 aana,12 Feet,North-East,2.5,5.0,3.0,2080 B.S,"['Terrace', 'Parking', 'Drainage', 'Earthquake Resistant', 'Marbel', 'Water Purifier', 'Bed Room', 'Living Room', 'Prayer Room', 'Master Bedroom', 'Modular Kitchen']", Kathmandu,4.0,12,2080,25000000.0
140, House for Rent,"Dhapakhel, Lalitpur","Rs. 3,88,000,00",4.0 aana,10 Feet,East,5.0,5.0,7.0,2072 B.S,"['Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Water Well', 'Dining Room', 'Bed Room']", Lalitpur,4.0,10,2072,38800000.0
141, House for Sale,"Khumaltar, Lalitpur",Rs. 4.5 Cr ,6.0 aana,13 Feet,South,2.5,6.0,3.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Drainage', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,6.0,13,2074,45000000.0
142,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.4 Cr ,2.3 aana,13 Feet,East,3.0,4.0,4.0,2073 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drinking Water', 'Parking', 'Balcony', 'Drainage', 'Power Backup', 'Reserve Tank', 'Terrace', 'Dining Room']", Lalitpur,2.3,13,2073,24000000.0
143,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.3 Cr ,2.2 aana,13 Feet,North,3.0,4.0,4.0,2073 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,2.2,13,2073,23000000.0
144,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.65 Cr ,4.0 aana,13 Feet,South-West,3.0,4.0,5.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,4.0,13,2074,26500000.0
145, House for Sale,"Tikathali, Lalitpur",Rs. 3.2 Cr ,4.1 aana,13 Feet,North-West,2.5,5.0,4.0,2076 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,4.1,13,2076,32000000.0
146,3 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.9 Cr ,3.0 aana,13 Feet,East,2.5,5.0,5.0,2076 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,3.0,13,2076,29000000.0
147, House for Sale,"Imadol, Lalitpur",Rs. 2.75 Cr ,3.0 aana,20 Feet,West,3.5,6.0,4.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Lalitpur,3.0,20,2074,27500000.0
148, House for Sale,"Tikathali, Lalitpur",Rs. 2.55 Cr ,3.2 aana,13 Feet,North-East,3.0,6.0,6.0,2073 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,3.2,13,2073,25500000.0
149, House for Sale,"Imadol, Lalitpur",Rs. 2.75 Cr ,3.1 aana,13 Feet,West,2.5,5.0,5.0,2073 B.S,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drainage', 'Power Backup', 'Drinking Water', 'Balcony', 'Parking', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,3.1,13,2073,27500000.0
150, House for Sale,"Imadol, Lalitpur",Rs. 3.4 Cr ,3.2 aana,26 Feet,West,3.0,5.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,3.2,26,2076,34000000.0
151,4 BHK House for Sale,"Nakkhu, Lalitpur",Rs. 2.75 Cr ,3.2 aana,20 Feet,East,2.5,4.0,4.0,2076 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,3.2,20,2076,27500000.0
152, House for Sale,"Imadol, Lalitpur",Rs. 4.25 Cr ,4.1 aana,20 Feet,North-East,2.5,5.0,3.0,2073 B.S,"['Reserve Tank', 'Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Terrace', 'Power Backup']", Lalitpur,4.1,20,2073,42500000.0
153, House for Sale,"Sanagaun, Lalitpur",Rs. 1.6 Cr ,5.2 aana,13 Feet,North-East,2.5,4.0,3.0,2070 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Modular Kitchen', 'Bathroom', 'Bed Room', 'Living Room']", Lalitpur,5.2,13,2070,16000000.0
154,Duplex House for Sale,"Samakhushi chowk, Kathmandu",Rs. 3.55 Cr ,3.2 aana,13 Feet,North,2.5,6.0,4.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Drainage', 'Reserve Tank', 'Terrace', 'Bed Room', 'Bathroom']", Kathmandu,3.2,13,2079,35500000.0
155, House for Sale,"Imadol, Lalitpur",Rs. 2.75 Cr ,3.0 aana,13 Feet,North-East,2.5,6.0,4.0,2072 B.S,"['Earthquake Resistant', 'CC Camera', 'Drainage', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Living Room']", Lalitpur,3.0,13,2072,27500000.0
156, House for Sale,"Lubhu, Lalitpur",Rs. 5.9 Cr ,7.1 aana,20 Feet,East,2.5,6.0,5.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Power Backup', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup']", Lalitpur,7.1,20,2074,59000000.0
